NAME,R_T,ResTime,Benz2AcidRatio,NByield,DNByield,CO2e,TOTALCOST
TYPE,DATA,DATA,DATA,DATA,DATA,DATA,DATA
0,65,9.13007826,0.786051914,60.51774287,0.000241473,11.297428,15090.6425
1,65,8.48416738,0.698712812,67.83547846,0.000341052,13.0533685,15750.4457
2,65,7.91106555,0.628841531,75.06645264,0.000470143,15.2118506,16411.5491
3,65,7.3954848,0.571674119,82.20697884,0.000632829,17.9003978,17078.292
4,65,6.93137702,0.524034609,89.24288784,0.000833165,20.9911936,17749.5946
5,65,10.0436988,0.786051914,60.55205507,0.000241942,11.2962896,15447.4261
6,65,9.33372116,0.698712812,67.8837066,0.000342018,13.0492361,16107.4267
7,65,8.70429971,0.628841531,75.13188629,0.000472159,15.1994933,16768.2984
8,65,8.13880155,0.571674119,82.29172375,0.000637059,17.8700379,17433.5805
9,65,7.63016208,0.524034609,89.34825865,0.000841605,20.9324026,18102.593
10,65,10.9573207,0.786051914,60.58073371,0.000242334,11.2953442,15786.5826
11,65,10.1832806,0.698712812,67.92403823,0.000342828,13.0457695,16446.7486
12,65,9.49755451,0.628841531,75.18661642,0.000473855,15.18904,17107.4223
13,65,8.88216482,0.571674119,82.36294952,0.000640654,17.84446,17771.4755
14,65,8.32903265,0.524034609,89.43731347,0.00084886,20.8826526,18443.697
15,65,11.8709459,0.786051914,60.60499229,0.000242667,11.2945225,16110.3693
16,65,11.0328445,0.698712812,67.95827115,0.000343517,13.0428223,16770.6777
17,65,10.2908194,0.628841531,75.23327662,0.000475304,15.1801682,17431.1874
18,65,9.6255612,0.571674119,82.42385512,0.000643749,17.8226874,18094.1901
19,65,9.02797286,0.524034609,89.5135227,0.000855166,20.8399626,18764.831
20,65,12.7845687,0.786051914,60.62590761,0.000242954,11.2938506,16420.6092
21,65,11.8824116,0.698712812,67.98769695,0.000344111,13.0402874,17081.0377
22,65,11.0841002,0.628841531,75.27386466,0.00047653,15.1750304,17741.4008
23,65,10.3689888,0.571674119,82.47629534,0.000646441,17.803837,18403.4982
24,65,9.72696669,0.524034609,89.57966269,0.000860701,20.8029963,19072.7819
25,70,9.08775795,0.786051914,60.54989171,0.000286806,11.289597,14693.1535
26,70,8.4464436,0.698712812,67.88125676,0.000405626,13.0362836,15322.9692
27,70,7.87827833,0.628841531,75.1286061,0.000560488,15.1732343,15950.8704
28,70,7.36840112,0.571674119,82.28621361,0.000757579,17.8193663,16588.1654
29,70,6.91007032,0.524034609,89.33791094,0.00100353,20.8472977,17228.5796
30,70,9.99704451,0.786051914,60.5783405,0.000287268,11.2886474,15049.5773
31,70,9.29203744,0.698712812,67.92128453,0.000406582,13.0328178,15679.5389
32,70,8.66789232,0.628841531,75.18343758,0.000562489,15.1653229,16307.738
33,70,8.10842689,0.571674119,82.35708475,0.00076186,17.7937696,16943.3202
34,70,7.60588988,0.524034609,89.42630355,0.001012255,20.797049,17581.8583
35,70,10.9063328,0.786051914,60.60207787,0.000287654,11.2878491,15388.4322
36,70,10.1376351,0.698712812,67.95474705,0.000407382,13.0299171,16018.5167
37,70,9.45751863,0.628841531,75.22871205,0.000564179,15.1540197,16646.9652
38,70,8.84848296,0.571674119,82.41647592,0.000765489,17.7722768,17281.1114
39,70,8.30177112,0.524034609,89.50092219,0.001019725,20.7546351,17918.073
40,70,11.815622,0.786051914,60.62219916,0.000287982,11.2871729,15711.9646
41,70,10.983236,0.698712812,67.98312534,0.000408063,13.0274503,16342.1536
42,70,10.2471572,0.628841531,75.26737108,0.000565615,15.1465007,16970.8111
43,70,9.58856946,0.571674119,82.46706133,0.000768602,17.7538785,17603.7307
44,70,8.99770288,0.524034609,89.56454204,0.001026227,20.717373,18239.3552
