NAME,R_T,ResTime,B2A_ratio,NB_Yield,DNB_Yield,CO2e,TOTALCOST
TYPE,DATA,DATA,DATA,DATA,DATA,DATA,DATA
0,45,0.000978104,0.786051914,0.821221953,9.59E-09,9.95198207,1791.67354
1,45,0.000855515,0.628841531,0.78186246,8.64E-09,10.0541973,1933.41645
2,45,0.000759914,0.524034609,0.7352568,7.61E-09,10.1335638,2071.38855
3,45,0.000683369,0.449172522,0.687541993,6.63E-09,10.1889605,2205.31703
4,45,0.000620744,0.393025957,0.641236741,5.77E-09,10.206978,2335.56636
5,45,0.00056858,0.349356406,0.597466507,5.02E-09,10.2087927,2461.45981
6,45,0.000524471,0.314420766,0.556489865,4.37E-09,10.1966919,2584.87914
7,45,0.005875608,0.786051914,4.464835387,2.96E-07,10.0570484,1560.86194
8,45,0.005138131,0.628841531,4.3143735,2.74E-07,10.1572705,1729.26311
9,45,0.004563209,0.524034609,4.102667471,2.47E-07,10.2347883,1895.0192
10,45,0.00410303,0.449172522,3.869772337,2.18E-07,10.2883537,2055.08287
11,45,0.003726635,0.393025957,3.634140609,1.92E-07,10.3032245,2208.86439
12,45,0.003413187,0.349356406,3.405191054,1.69E-07,10.3033029,2356.07974
13,45,0.003148187,0.314420766,3.186484755,1.48E-07,10.2801609,2497.43557
14,45,0.010782492,0.786051914,7.506321132,8.69E-07,10.1201293,1184.56609
15,45,0.00942773,0.628841531,7.339730359,8.25E-07,10.2512742,1431.6693
16,45,0.008371783,0.524034609,7.043296047,7.54E-07,10.3278791,1643.28016
17,45,0.007526755,0.449172522,6.691460672,6.77E-07,10.3809278,1836.7915
18,45,0.006835707,0.393025957,6.321475533,6.02E-07,10.4042295,2016.96867
19,45,0.006260325,0.349356406,5.951279585,5.32E-07,10.3871043,2186.84695
20,45,0.005773948,0.314420766,5.591709807,4.70E-07,10.3636913,2347.79792
21,45,0.015696569,0.786051914,10.09368306,1.63E-06,10.2346664,1347.17589
22,45,0.013722879,0.628841531,9.977117703,1.58E-06,10.3345943,1354.33706
23,45,0.012184669,0.524034609,9.647245168,1.46E-06,10.4140343,1352.35832
24,45,0.010953869,0.449172522,9.221493042,1.33E-06,10.4628177,1562.2794
25,45,0.009947481,0.393025957,8.755472632,1.19E-06,10.4871936,1792.86059
26,45,0.009109644,0.349356406,8.277448928,1.06E-06,10.475986,1994.5339
27,45,0.008401491,0.314420766,7.805188624,9.43E-07,10.4338085,2177.0839
28,45,0.020616369,0.786051914,12.36338733,2.51E-06,10.3026383,1484.78969
29,45,0.018022564,0.628841531,12.30853105,2.47E-06,10.4133298,1494.74162
30,45,0.016001156,0.524034609,11.97906511,2.33E-06,10.4907566,1493.37162
31,45,0.014383864,0.449172522,11.51091384,2.13E-06,10.5426474,1485.79909
32,45,0.013061583,0.393025957,10.97712581,1.93E-06,10.5651144,1588.95903
33,45,0.011960865,0.349356406,10.41629942,1.73E-06,10.5427593,1765.67848
34,45,0.011030604,0.314420766,9.853213378,1.54E-06,10.515894,1988.38389
35,45,0.025540844,0.786051914,14.35470941,3.47E-06,10.367194,1604.87793
36,45,0.02232604,0.628841531,14.39277073,3.48E-06,10.4841859,1618.95089
37,45,0.019820704,0.524034609,14.08656888,3.31E-06,10.5647119,1619.26758
38,45,0.017816343,0.449172522,13.59855295,3.06E-06,10.6148521,1611.66395
